"ID","COLLECTED_AT","COMMAND","DAY_OF_WEEK","FILE_SIZE_BYTES","IO_SIZE_BYTES","LATENCY_SECONDS","OPERATION_TYPE","RAW_LATENCY","RAW_RESPONSE","RAW_THROUGHPUT","SYSTEM_NAME","THROUGHPUT_KB_PER_SECOND","TIME_OF_DAY","WEEK_PERIOD"
"6317","2023-11-13 02:46:02.712549","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.130396","READ","0.130396 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.130396 s, 7.7 GB/s
","7.7 GB/s","LAMBDA_DD","7.7E9","OFF_HOUR","WEEKDAY"
"6318","2023-11-13 02:47:59.515252","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.039","WRITE","1.039 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.039 s, 962 MB/s
","962 MB/s","GCF_DD","9.62E8","OFF_HOUR","WEEKDAY"
"6319","2023-11-13 02:47:59.735697","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.169379","READ","0.169379 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.169379 s, 5.9 GB/s
","5.9 GB/s","GCF_DD","5.9E9","OFF_HOUR","WEEKDAY"
"6320","2023-11-13 02:48:00.782961","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.774263","WRITE","0.774263 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.774263 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"6321","2023-11-13 02:48:00.982512","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.130364","READ","0.130364 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.130364 s, 7.7 GB/s
","7.7 GB/s","LAMBDA_DD","7.7E9","OFF_HOUR","WEEKDAY"
"6322","2023-11-13 02:50:01.177621","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.0348","WRITE","1.0348 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.0348 s, 966 MB/s
","966 MB/s","GCF_DD","9.66E8","OFF_HOUR","WEEKDAY"
"6323","2023-11-13 02:50:01.392866","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.16375","READ","0.16375 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.16375 s, 6.1 GB/s
","6.1 GB/s","GCF_DD","6.1E9","OFF_HOUR","WEEKDAY"
"6324","2023-11-13 02:50:02.480292","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.776101","WRITE","0.776101 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.776101 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"6325","2023-11-13 02:50:02.695976","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.132988","READ","0.132988 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.132988 s, 7.5 GB/s
","7.5 GB/s","LAMBDA_DD","7.5E9","OFF_HOUR","WEEKDAY"
"6326","2023-11-13 02:52:01.207504","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.04494","WRITE","1.04494 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.04494 s, 956 MB/s
","956 MB/s","GCF_DD","9.56E8","OFF_HOUR","WEEKDAY"
"6327","2023-11-13 02:52:01.431843","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.168206","READ","0.168206 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.168206 s, 5.9 GB/s
","5.9 GB/s","GCF_DD","5.9E9","OFF_HOUR","WEEKDAY"
"6328","2023-11-13 02:52:02.453812","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.750831","WRITE","0.750831 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.750831 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"6329","2023-11-13 02:52:02.65612","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.133594","READ","0.133594 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.133594 s, 7.5 GB/s
","7.5 GB/s","LAMBDA_DD","7.5E9","OFF_HOUR","WEEKDAY"
"6330","2023-11-13 02:54:01.30438","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.0426","WRITE","1.0426 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.0426 s, 959 MB/s
","959 MB/s","GCF_DD","9.59E8","OFF_HOUR","WEEKDAY"
"6331","2023-11-13 02:54:01.524425","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.170126","READ","0.170126 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.170126 s, 5.9 GB/s
","5.9 GB/s","GCF_DD","5.9E9","OFF_HOUR","WEEKDAY"
"6332","2023-11-13 02:54:02.546176","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.747242","WRITE","0.747242 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.747242 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"6333","2023-11-13 02:54:02.750912","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.149963","READ","0.149963 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.149963 s, 6.7 GB/s
","6.7 GB/s","LAMBDA_DD","6.7E9","OFF_HOUR","WEEKDAY"
"6334","2023-11-13 02:56:01.162132","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.02423","WRITE","1.02423 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.02423 s, 976 MB/s
","976 MB/s","GCF_DD","9.76E8","OFF_HOUR","WEEKDAY"
"6335","2023-11-13 02:56:01.375602","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.162741","READ","0.162741 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.162741 s, 6.1 GB/s
","6.1 GB/s","GCF_DD","6.1E9","OFF_HOUR","WEEKDAY"
"6336","2023-11-13 02:56:02.461676","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.750996","WRITE","0.750996 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.750996 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"6337","2023-11-13 02:56:02.653671","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.129899","READ","0.129899 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.129899 s, 7.7 GB/s
","7.7 GB/s","LAMBDA_DD","7.7E9","OFF_HOUR","WEEKDAY"
"6338","2023-11-13 02:58:01.132518","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.991094","WRITE","0.991094 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.991094 s, 1.0 GB/s
","1.0 GB/s","GCF_DD","1.0E9","OFF_HOUR","WEEKDAY"
"6339","2023-11-13 02:58:01.350755","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.168379","READ","0.168379 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.168379 s, 5.9 GB/s
","5.9 GB/s","GCF_DD","5.9E9","OFF_HOUR","WEEKDAY"
"6340","2023-11-13 02:58:02.441873","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.730306","WRITE","0.730306 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.730306 s, 1.4 GB/s
","1.4 GB/s","LAMBDA_DD","1.4E9","OFF_HOUR","WEEKDAY"
"6341","2023-11-13 02:58:02.651475","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.132457","READ","0.132457 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.132457 s, 7.5 GB/s
","7.5 GB/s","LAMBDA_DD","7.5E9","OFF_HOUR","WEEKDAY"
"6342","2023-11-13 03:00:01.285012","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.02034","WRITE","1.02034 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.02034 s, 980 MB/s
","980 MB/s","GCF_DD","9.8E8","OFF_HOUR","WEEKDAY"
"6343","2023-11-13 03:00:01.497653","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.161801","READ","0.161801 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.161801 s, 6.2 GB/s
","6.2 GB/s","GCF_DD","6.2E9","OFF_HOUR","WEEKDAY"
"6344","2023-11-13 03:00:02.531065","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.732733","WRITE","0.732733 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.732733 s, 1.4 GB/s
","1.4 GB/s","LAMBDA_DD","1.4E9","OFF_HOUR","WEEKDAY"
"6345","2023-11-13 03:00:02.717866","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.13143","READ","0.13143 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.13143 s, 7.6 GB/s
","7.6 GB/s","LAMBDA_DD","7.6E9","OFF_HOUR","WEEKDAY"
"6346","2023-11-13 03:02:01.151589","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.01445","WRITE","1.01445 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.01445 s, 985 MB/s
","985 MB/s","GCF_DD","9.85E8","OFF_HOUR","WEEKDAY"
"6347","2023-11-13 03:02:01.372611","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.165013","READ","0.165013 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.165013 s, 6.1 GB/s
","6.1 GB/s","GCF_DD","6.1E9","OFF_HOUR","WEEKDAY"
"6348","2023-11-13 03:02:02.545876","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.77029","WRITE","0.77029 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.77029 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"6349","2023-11-13 03:02:02.740843","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.133261","READ","0.133261 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.133261 s, 7.5 GB/s
","7.5 GB/s","LAMBDA_DD","7.5E9","OFF_HOUR","WEEKDAY"
"6350","2023-11-13 03:04:01.156009","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.0245","WRITE","1.0245 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.0245 s, 976 MB/s
","976 MB/s","GCF_DD","9.76E8","OFF_HOUR","WEEKDAY"
"6351","2023-11-13 03:04:01.367062","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.162449","READ","0.162449 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.162449 s, 6.2 GB/s
","6.2 GB/s","GCF_DD","6.2E9","OFF_HOUR","WEEKDAY"
"6352","2023-11-13 03:04:02.411151","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.731833","WRITE","0.731833 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.731833 s, 1.4 GB/s
","1.4 GB/s","LAMBDA_DD","1.4E9","OFF_HOUR","WEEKDAY"
"6353","2023-11-13 03:04:02.621017","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.130659","READ","0.130659 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.130659 s, 7.6 GB/s
","7.6 GB/s","LAMBDA_DD","7.6E9","OFF_HOUR","WEEKDAY"
"6354","2023-11-13 03:06:01.260658","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.997368","WRITE","0.997368 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.997368 s, 1.0 GB/s
","1.0 GB/s","GCF_DD","1.0E9","OFF_HOUR","WEEKDAY"
"6355","2023-11-13 03:06:01.474391","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.162667","READ","0.162667 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.162667 s, 6.1 GB/s
","6.1 GB/s","GCF_DD","6.1E9","OFF_HOUR","WEEKDAY"
"6356","2023-11-13 03:06:02.489518","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.744993","WRITE","0.744993 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.744993 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"6357","2023-11-13 03:06:02.700112","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.141272","READ","0.141272 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.141272 s, 7.1 GB/s
","7.1 GB/s","LAMBDA_DD","7.1E9","OFF_HOUR","WEEKDAY"
"6358","2023-11-13 03:08:01.176003","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.01844","WRITE","1.01844 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.01844 s, 981 MB/s
","981 MB/s","GCF_DD","9.81E8","OFF_HOUR","WEEKDAY"
"6359","2023-11-13 03:08:01.388322","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.163364","READ","0.163364 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.163364 s, 6.1 GB/s
","6.1 GB/s","GCF_DD","6.1E9","OFF_HOUR","WEEKDAY"
"6360","2023-11-13 03:08:02.431333","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.741116","WRITE","0.741116 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.741116 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"6361","2023-11-13 03:08:02.64308","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.14007","READ","0.14007 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.14007 s, 7.1 GB/s
","7.1 GB/s","LAMBDA_DD","7.1E9","OFF_HOUR","WEEKDAY"
"6362","2023-11-13 03:10:01.192805","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.04911","WRITE","1.04911 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.04911 s, 953 MB/s
","953 MB/s","GCF_DD","9.53E8","OFF_HOUR","WEEKDAY"
"6363","2023-11-13 03:10:01.405669","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.163763","READ","0.163763 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.163763 s, 6.1 GB/s
","6.1 GB/s","GCF_DD","6.1E9","OFF_HOUR","WEEKDAY"
"6364","2023-11-13 03:10:02.527178","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.74339","WRITE","0.74339 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.74339 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"6365","2023-11-13 03:10:02.727181","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.137958","READ","0.137958 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.137958 s, 7.2 GB/s
","7.2 GB/s","LAMBDA_DD","7.2E9","OFF_HOUR","WEEKDAY"
"6366","2023-11-13 03:12:01.287601","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.03559","WRITE","1.03559 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.03559 s, 965 MB/s
","965 MB/s","GCF_DD","9.65E8","OFF_HOUR","WEEKDAY"
"6367","2023-11-13 03:12:01.513605","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.165252","READ","0.165252 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.165252 s, 6.0 GB/s
","6.0 GB/s","GCF_DD","6.0E9","OFF_HOUR","WEEKDAY"
"6368","2023-11-13 03:12:02.777401","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.767438","WRITE","0.767438 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.767438 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"6369","2023-11-13 03:12:02.965847","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.133069","READ","0.133069 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.133069 s, 7.5 GB/s
","7.5 GB/s","LAMBDA_DD","7.5E9","OFF_HOUR","WEEKDAY"
"6370","2023-11-13 03:14:01.198357","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.04507","WRITE","1.04507 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.04507 s, 956 MB/s
","956 MB/s","GCF_DD","9.56E8","OFF_HOUR","WEEKDAY"
"6371","2023-11-13 03:14:01.415958","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.162781","READ","0.162781 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.162781 s, 6.1 GB/s
","6.1 GB/s","GCF_DD","6.1E9","OFF_HOUR","WEEKDAY"
"6372","2023-11-13 03:14:02.48985","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.776668","WRITE","0.776668 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.776668 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"6373","2023-11-13 03:14:02.676994","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.133648","READ","0.133648 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.133648 s, 7.5 GB/s
","7.5 GB/s","LAMBDA_DD","7.5E9","OFF_HOUR","WEEKDAY"
"6374","2023-11-13 03:16:01.177196","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","1.04216","WRITE","1.04216 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 1.04216 s, 959 MB/s
","959 MB/s","GCF_DD","9.59E8","OFF_HOUR","WEEKDAY"
"6375","2023-11-13 03:16:01.398432","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.164168","READ","0.164168 s","976+0 records in
976+0 records out
999424000 bytes (999 MB, 953 MiB) copied, 0.164168 s, 6.1 GB/s
","6.1 GB/s","GCF_DD","6.1E9","OFF_HOUR","WEEKDAY"
"6376","2023-11-13 03:16:02.652491","if=/dev/zero of=/tmp/file1 bs=1024000 count=976","MONDAY","1000000000","1024000","0.768734","WRITE","0.768734 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.768734 s, 1.3 GB/s
","1.3 GB/s","LAMBDA_DD","1.3E9","OFF_HOUR","WEEKDAY"
"6377","2023-11-13 03:16:02.847164","if=/tmp/file1 of=/dev/null bs=1024000","MONDAY",,"1024000","0.143451","READ","0.143451 s","976+0 records in
976+0 records out
999424000 bytes (999 MB) copied, 0.143451 s, 7.0 GB/s
","7.0 GB/s","LAMBDA_DD","7.0E9","OFF_HOUR","WEEKDAY"
